"Pitcher","Rank","Factor"
"Aaron Blair",0.493444653810898,1.00205997005625
"Aaron Nola",0.503381827199202,0.923449575100622
"Aaron Sanchez",0.519453284365559,0.959796413668582
"Aaron Slegers",0.494994960217328,0.993681171310468
"Aaron Wilkerson",0.501477841699483,1.001675793017
"Adalberto Mejia",0.473069807634352,1.0384089915019
"Adam Conley",0.476480737495187,1.10135437372861
"Adam Wainwright",0.516493932829543,1.01694543953343
"Adam Wilk",0.494374115060735,1.01095709104636
"AJ Cole",0.483606969803763,1.00747907685267
"AJ Griffin",0.469063049199044,1.05742782553418
"Alec Asher",0.486216957447503,1.03304782369082
"Alex Claudio ",0.497567288056808,1.00568234609356
"Alex Cobb",0.546864278370794,0.974469114575318
"Alex Meyer",0.485952771428877,0.984286877544549
"Alex Wood",0.647624005832472,0.973631695890515
"Amir Garrett",0.460373979866651,1.05548502439591
"Andrew Albers",0.505555184121095,1.0224613029553
"Andrew Cashner",0.476092488758242,1.03176028278885
"Andrew Heaney",0.51284223026878,1.0002127874944
"Andrew Moore",0.49017587137944,1.04638286128012
"Andrew Triggs",0.488043855549926,0.95576465082436
"Anibal Sanchez",0.409034710656159,1.01772517047476
"Anthony Banda",0.490669632283076,0.989451304481869
"Antonio Senzatela",0.491251919424529,1.00708318873097
"Ariel Miranda",0.478886081133559,1.02880933927054
"Artie Lewicki",0.488733022407737,1.00161759869534
"Asher Wojciechowski",0.46022094937393,1.04214287203317
"Austin Bibens-Dirkx",0.474288417488954,1.05151998304332
"Austin Pruitt",0.500693412856742,1.01099665276094
"Bartolo Colon",0.44904512133907,1.03912438002638
"Ben Lively",0.407253876007668,1.02115020020022
"Blake Snell",0.553521119118957,1.0011409938307
"Brad Peacock",0.615878655326836,1.00919684892093
"Braden Shipley",0.484080119938169,1.00230872993334
"Brandon Finnegan",0.48101628275789,0.982276601328674
"Brandon McCarthy",0.589031021945996,1.01626205982107
"Brandon Woodruff",0.502594346848261,1.03186424024355
"Brent Suter",0.513343533829981,1.02164375267491
"Brett Anderson",0.496684317941923,1.00129816030307
"Brian Johnson",0.489850820461112,1.01678904655598
"Brock Stewart",0.554099501143334,1.02106757100881
"Bronson Arroyo",0.452609041497157,1.08261088974256
"Bryan Mitchell",0.498769659233798,1.00316184244125
"Buck Farmer",0.422432484144898,1.02851770340622
"Bud Norris",0.516574171407847,0.989545551119248
"Caleb Smith",0.506856656453775,0.994057134748212
"Carlos Carrasco",0.624965403412075,0.883821418817447
"Carlos Martinez",0.600467992210651,0.96626796112081
"Carlos Rodon",0.437909529171911,1.00577397306627
"Carson Fulmer",0.450013871016777,1.04082634187897
"Casey Lawrence",0.486039741795033,1.00357316528883
"CC Sabathia",0.591365611348782,0.987079232180464
"Cesar Valdez",0.489761075960443,1.00139075404691
"Chad Bell",0.456937331892102,0.999425064637532
"Chad Bettis",0.503009247078776,1.02731902460526
"Chad Green",0.506737476871081,1.00909188479704
"Chad Kuhl",0.492800777447551,0.977303881722062
"Charlie Morton",0.602948477913287,1.05090940481764
"Chase Anderson",0.539285213549176,1.01814959592755
"Chase De Jong",0.475444348090941,1.02537546060712
"Chris Archer",0.612868823330409,0.929804371654299
"Chris Heston",0.494713605590717,1.00677128665048
"Chris O'Grady",0.495821903781434,1.06208167306863
"Chris Rowley",0.489339075138104,1.00850009393796
"Chris Sale",0.711874311791964,0.83494460161965
"Chris Smith",0.441771456601311,1.02528713905618
"Chris Stratton",0.450337019975214,1.01623167108141
"Chris Tillman",0.476089142182074,1.08917644930053
"Chris Volstad",0.493257932052387,1.00843506141493
"Chris Young",0.487260607209671,1.00106016307783
"Christian Bergman",0.467075329809287,1.04087680199914
"Christopher Flexen",0.408012537787451,1.06651685653719
"Clay Buchholz",0.492437793567227,1.00096429243532
"Clayton Kershaw",0.726520745959728,0.870405071136442
"Clayton Richard",0.498560178930555,0.960850134973141
"Cody Reed",0.498109589399926,0.989340461589849
"Cole Hamels",0.50005636402962,0.982799587133483
"Collin McHugh",0.540260992836132,1.02736723111669
"Corey Kluber",0.680449223167984,0.804116778022007
"Dallas Keuchel",0.611713273847072,1.0272054766419
"Dan Straily",0.495181013844247,1.03208654729591
"Daniel Gossett",0.47251778767646,1.05648020470684
"Daniel Mengden",0.455064023347608,1.05564287041493
"Daniel Norris",0.490614346600547,1.04184425090522
"Daniel Wright",0.498778692551042,1.00397673932103
"Danny Duffy",0.530882873468455,0.956118544726897
"Danny Salazar",0.597227565872111,0.950079358022104
"David Holmberg",0.404219844320043,1.05165907705574
"David Paulino",0.543633382877976,1.04699620789681
"David Price",0.567553550222184,0.935234743450474
"Dayan Diaz",0.509332627648024,0.996807017168834
"Derek Holland",0.350894876631079,1.07052276935772
"Dietrich Enns",0.493388888049591,0.999982863629354
"Dillon Gee",0.502969591515093,1.01669100614803
"Dillon Overton",0.4906941108433,0.996640971011275
"Dillon Peters",0.478296290939892,1.05611131689937
"Dinelson Lamet",0.494497244887707,0.943497025251617
"Doug Fister",0.542017315617187,1.00658653694427
"Drew Pomeranz",0.58644733229905,0.931991194302128
"Drew VerHagen",0.487408626620061,1.01645123722208
"Dylan Bundy",0.538529929016605,1.00911487981636
"Dylan Covey",0.401278400451,1.05409908837794
"Eddie Butler",0.5269399951429,1.02630504979721
"Edinson Volquez",0.500641272580559,1.04014931784122
"Eduardo Rodriguez",0.567266192866362,0.964108956846138
"Edwin Jackson",0.493855392024071,1.0229610716451
"Erasmo Ramirez",0.498763284096151,1.01392938473346
"Eric Skoglund",0.4768908095823,1.0024958817653
"Erick Fedde",0.493665722277727,0.994050990413397
"Ervin Santana",0.517133992906364,0.970923617667997
"Felix Hernandez",0.525475379274095,1.0320456699352
"Felix Jorge",0.485101299650749,1.00342943377206
"Francis Martes",0.5049898915551,1.04147285056015
"Francisco Liriano",0.527890097308793,1.00797077203514
"Gabriel Ynoa",0.480508384459642,1.03877067124367
"Garrett Richards",0.545734032574969,0.97299455772869
"German Marquez",0.546515171000677,0.952071059265803
"Gerrit Cole",0.512590682478121,0.906182181097378
"Gio Gonzalez",0.535461030597093,0.971086681450359
"Hector Santiago",0.458429587033338,1.02048144386717
"Hector Velazquez",0.505271809218255,0.994673645676867
"Henderson Alvarez",0.478764135167325,0.99368073043476
"Hisashi Iwakuma",0.482989391850984,1.00207481534667
"Homer Bailey",0.455107770500379,1.03004783634733
"Hyun-Jin Ryu",0.593418065929479,0.984874351518696
"Ian Kennedy",0.46655028781425,1.01675850497976
"Ivan Nova",0.474727999342466,0.992724553695557
"JA Happ",0.521101353369936,0.927789238864003
"Jack Flaherty",0.512939108039708,1.03453621133377
"Jackson Stephens",0.48739537885576,1.01674480262048
"Jacob deGrom",0.543600310730861,0.898389506791371
"Jacob Turner",0.492949962936832,1.01590482175124
"Jaime Garcia",0.573507391163519,0.961028166958524
"Jake Arrieta",0.638239631243611,0.974950497730799
"Jake Faria",0.526008929323861,1.00428892441207
"Jake Odorizzi",0.477539740736612,1.03997369349193
"Jake Thompson",0.399619687744953,1.06083406353427
"Jakob Junis",0.508425767002868,0.969113069325242
"James Paxton",0.607954447531297,0.931558100660625
"James Shields",0.366139178038305,1.05201524172887
"Jameson Taillon",0.512985078120452,0.954141739578283
"Jarred Cosart",0.444880786426653,1.00374978438049
"Jason Hammel",0.507238284532641,0.976161847266879
"Jason Vargas",0.470349730012448,0.979001800903597
"Jayson Aquino",0.489807548183292,0.995554112683972
"JC Ramirez",0.499476341310319,1.01000418467968
"Jeff Hoffman",0.498625650730248,0.996457311298154
"Jeff Locke",0.489727043599081,1.04272513416945
"Jeff Samardzija",0.477629797652516,0.957520802921992
"Jen-Ho Tseng",0.502890834986514,1
"Jerad Eickhoff",0.411685447147335,0.997114046300167
"Jered Weaver",0.405134172549185,1.01776949198736
"Jeremy Guthrie",0.500638117806364,0.995023136341602
"Jeremy Hellickson",0.499102611666518,1.03920145190327
"Jeremy Jeffress",0.506035341306681,1.00956038952803
"Jesse Chavez",0.475358931825231,0.996938974422359
"Jesse Hahn",0.480601453710468,1.03412029204062
"Jharel Cotton",0.433777202185492,1.0535750547816
"Jhoulys Chacin",0.443918567039919,0.981573679211164
"Jimmy Nelson",0.551561019117999,0.95780477716563
"Joe Biagini",0.495162601988063,0.95058740126901
"Joe Musgrove",0.555059228861338,1.09617379610867
"Joe Ross",0.543003706818454,1.06013599726164
"John Gant",0.504058557339155,1.01270166003314
"John Lackey",0.578456367328211,1.04300733570051
"Johnny Cueto",0.449849400318344,0.954601567861695
"Jon Gray",0.555717261629979,0.915861865099078
"Jon Lester",0.613346158407818,0.964454119007836
"Jordan Lyles",0.449508046974941,1.00870297844701
"Jordan Montgomery",0.569427287987275,0.967182867000932
"Jordan Zimmermann",0.404160847389256,1.03364610661104
"Jose Berrios",0.526011622258371,0.97976628505203
"Jose Quintana",0.574782250033078,0.949664802868292
"Jose Urena",0.484924089438781,1.08314608738699
"Josh Tomlin",0.59533934523788,0.979839311005193
"Julio Teheran",0.4748670681234,0.985237765454854
"Julio Urias",0.552633908601707,0.976406379717871
"Junior Guerra",0.452281007288005,1.07318033381198
"Justin Nicolino",0.465926415613143,1.05456565517058
"Justin Verlander",0.557359242130832,0.960139386473986
"Kendall Graveman",0.449448119649103,1.04353159974013
"Kenta Maeda",0.635103881687077,0.970054975389238
"Kevin Gausman",0.578032875678337,1.00874252392339
"Kyle Freeland",0.518938673363144,0.996169492829401
"Kyle Gibson",0.532946192668373,1.01152266305718
"Kyle Hendricks",0.599391117924889,0.949620545469913
"Kyle Kendrick",0.499231852706656,1.00370961246757
"Kyle Lloyd",0.495458531834281,1.00351310976468
"Lance Lynn",0.513826043297039,1.03801036199796
"Lance McCullers",0.632140229573348,1.00588913985647
"Lisalverto Bonilla",0.48328240410716,1.04467184022855
"Lucas Giolito",0.402160234081433,1.04454630217114
"Lucas Sims",0.431997734975363,1.02460891962528
"Luis Castillo",0.51483864114591,0.972665596965799
"Luis Cessa",0.525844262358205,1.0414692463142
"Luis Perdomo",0.455445645058111,1.00255704393026
"Luis Severino",0.675681931923669,0.866914040632854
"Luiz Gohara",0.451282247792156,1.01177205657741
"Luke Farrell",0.496184367566835,1.0038592903495
"Luke Weaver",0.581281495982815,0.955323310267724
"Madison Bumgarner",0.532129567138454,0.928256744886644
"Marco Estrada",0.468968536982754,0.981597359681513
"Marco Gonzales",0.497192222758725,1.05143035312144
"Marcus Stroman",0.563695127427556,0.918030449715298
"Mark Leiter",0.428268450719065,1.02262423815594
"Martin Perez",0.462234542482144,1.03674730917785
"Masahiro Tanaka",0.612328697468974,0.946344650211046
"Mat Latos",0.485659338086527,1.00091437014536
"Matt Andriese",0.517016951261377,1.00374875504543
"Matt Cain",0.407560674226081,1.03164350108021
"Matt Garza",0.453070687479163,1.07641424130356
"Matt Grace",0.499834563268091,0.997601473303415
"Matt Harvey",0.455807324900185,1.03901021364801
"Matt Moore",0.459658170448541,1.00345943455351
"Matt Shoemaker",0.487164853564474,0.977464982819492
"Matt Strahm",0.493245895735518,0.99379837875334
"Matt Wisler",0.488638560687433,1.00436831961925
"Matthew Boyd",0.41715969142419,1.00279931312023
"Max Fried",0.460162195214247,0.995474022927032
"Max Scherzer",0.640272200239954,0.863210418566933
"Michael Blazek",0.494840485694069,1.00813112855015
"Michael Fulmer",0.516713980466292,0.987454294845061
"Michael Pineda",0.59359336737404,0.984385512400691
"Michael Wacha",0.576740702203377,0.958933556832264
"Miguel Castro",0.499563764476281,1.00517765220474
"Miguel Diaz",0.466938594242058,1.01347092837261
"Miguel Gonzalez",0.425591599177899,1.02429392480477
"Mike Bolsinger",0.490488279508604,0.998085355421489
"Mike Clevinger",0.572375043300583,0.95062504757672
"Mike Fiers",0.547403671844987,1.06202445228383
"Mike Foltynewicz",0.460492569577541,1.00713352245529
"Mike Leake",0.523571963317531,1.03058560399692
"Mike Montgomery",0.572297613691334,1.00633369831626
"Mike Pelfrey",0.382239725079546,1.05293342922898
"Myles Jaye",0.490668704875129,1.00420117785992
"Nate Karns",0.476660164415142,0.964303129220238
"Nick Martinez",0.428663443086468,1.05962769874267
"Nick Pivetta",0.428620738977709,1.00828067901895
"Nick Tepesch",0.47504104648051,1.0036086936637
"Nik Turley",0.487417602108809,1.02217714978441
"Noah Syndergaard",0.544266907035629,0.931269772424316
"Odrisamer Despaigne",0.452538613772787,1.06584521566686
"Paolo Espino",0.489811458210637,1.00138964197772
"Parker Bridwell",0.541730771962228,1.05062027401974
"Patrick Corbin",0.572995328887294,0.998955486708899
"Paul Blackburn",0.451904581655118,1.07307210566479
"Phil Hughes",0.459131541588431,1.02583135148908
"RA Dickey",0.460604797915924,0.992873588244301
"Rafael Montero",0.406441229412106,1.0092073877472
"Randall Delgado",0.492836859706101,0.983842534231681
"Raul Alcantara",0.464906605625359,1.01078562256315
"Reynaldo Lopez",0.411527710163474,1.03755859613785
"Rich Hill",0.640160828452797,0.985524564976727
"Rick Porcello",0.578468027280787,0.995484683851008
"Ricky Nolasco",0.537580353730894,1.01429400252067
"Rob Whalen",0.498242859091512,1.00539535122637
"Robbie Ray",0.575202246658717,0.949029273189582
"Robert Gsellman",0.403094115647231,0.958240064716115
"Robert Stephenson",0.45722451408061,1.05442178203443
"Rookie Davis",0.459609800552867,1.02205337324003
"Ross Stripling",0.520935076089603,0.996363820919644
"Ryan Merritt",0.514041674058078,1.01086820531086
"Ryan Weber",0.50009305604895,0.997459603858158
"Sal Romano",0.480137731771143,1.01485382207232
"Sam Gaviglio",0.50571616018043,1.06821306053078
"Scott Feldman",0.471019435738904,1.02856782534376
"Sean Manaea",0.491373979871024,1.05054679668455
"Sean Newcomb",0.454991930504933,1.00773581391164
"Seth Lugo",0.421073502879453,1.02853113212164
"Shelby Miller",0.492214864142003,0.997311270775049
"Sonny Gray",0.636240401382489,0.939680310983162
"Stephen Strasburg",0.607999751839412,0.912180329433805
"Steven Brault",0.469727400594477,0.997471925909367
"Steven Matz",0.489203814766821,1.05220492935113
"Steven Wright",0.505096753994451,0.999136805325572
"Taijuan Walker",0.532556379817943,1.00784327784744
"Tanner Roark",0.525445239071403,0.96954162448184
"Tim Adleman",0.467840738265187,1.07291811037967
"Tim Melville",0.500338567463291,1.00996281043012
"TJ McFarland",0.497796798986021,1.00505403885449
"Tom Koehler",0.458759461644644,1.0864861961757
"Tommy Milone",0.437442103969773,0.990857750161178
"Travis Wood",0.444853133215249,1.02300651771364
"Trevor Bauer",0.582778942773844,0.938386510040784
"Trevor Cahill",0.500927487966029,0.926790405107885
"Trevor Williams",0.492302188281191,0.964665417615025
"Troy Scribner",0.497396038373148,1.02428489547928
"Ty Blach",0.42851560262964,1.02479009603245
"Tyler Anderson",0.541591250512065,0.932305854531555
"Tyler Chatwood",0.522605071040298,1.02731285573269
"Tyler Danish",0.490338407270879,1.00004686002997
"Tyler Glasnow",0.457049164056191,1.01270397530523
"Tyler Mahle",0.510171651482505,0.994160455330968
"Tyler Pill",0.493721227871371,1.02437619140013
"Tyler Skaggs",0.557971322204783,0.987607901285492
"Tyler Wilson",0.50000830564784,0.998374050952795
"Tyson Ross",0.50282577851697,1.0577552907941
"Ubaldo Jimenez",0.504037237554042,1.05166890416918
"Vance Worley",0.456730993204021,1.06167108322541
"Vince Velasquez",0.471936629339811,0.986739107926075
"Wade Miley",0.499999145813651,1.06094431573785
"Wei-Yin Chen",0.513990102093941,0.962676168672712
"Wily Peralta",0.460575851598541,0.969219722834201
"Yovani Gallardo",0.471986559561101,1.07734446179034
"Yu Darvish",0.673510103838191,0.942357262813334
"Yusmeiro Petit",0.502523364043247,1.00072997895333
"Zach Davies",0.534036732627227,1.03331457922722
"Zach Eflin",0.40851559795247,1.03609055311865
"Zach Lee",0.491291835549551,0.998001478089217
"Zack Godley",0.570780312819279,0.940958402349056
"Zack Greinke",0.610706519142051,0.918779376484234
"Zack Wheeler",0.502724049861309,1.04226612060773
